TIMESTAMPS, I_Q_MEAS, I_D_MEAS, V_Q, V_D
708623, 0.0440735, 0.0697831, -0.011682, -0.0179723
708624, -0.0128548, 0.0018364, -0.000599076, -0.00688937
708625, -0.0716195, 0.0697831, 0.0152764, -0.0242626
708626, -0.0128548, 0.0018364, 0.00658983, -0.0128801
708627, 0.0146912, -0.0459099, 0.000299538, -0.000599076
708628, -0.0422371, 0.0202004, 0.0137787, -0.0137787
708629, 0.0440735, 0.0018364, -0.00479261, -0.0107834
708630, 0.0440735, 0.0018364, -0.0086866, -0.0110829
708631, -0.0422371, 0.0532555, 0.00988475, -0.0242626
708632, -0.0422371, 0.0202004, 0.0134792, -0.0203686
708633, -0.0128548, 0.0367279, 0.00958521, -0.0260598
708634, 0.0440735, -0.0642739, -0.00389399, -0.00359446
708635, -0.0716195, 0.0367279, 0.0218663, -0.0236635
708636, -0.0128548, 0.0367279, 0.0131797, -0.0269584
708637, -0.0128548, 0.0018364, 0.0140783, -0.0212672
708638, -0.0422371, -0.0128548, 0.0227649, -0.0176727
708639, 0.0146912, -0.0128548, 0.011682, -0.0164746
708640, 0.0146912, -0.0128548, 0.0104838, -0.0152764
708641, -0.0422371, -0.0128548, 0.023963, -0.0143778
708642, 0.0146912, -0.0459099, 0.0128801, -0.00479261
708643, 0.0440735, -0.0642739, 0.00389399, 0.00389399
708644, -0.0422371, -0.0128548, 0.0224653, -0.00389399
708645, 0.0146912, -0.0128548, 0.0113824, -0.00269584
708646, -0.0422371, 0.0532555, 0.0248616, -0.0185714
708647, -0.0128548, 0.0697831, 0.0209677, -0.027258
708648, -0.0128548, -0.0293824, 0.0218663, -0.00808752
708649, -0.0128548, 0.0018364, 0.0230644, -0.0134792
708650, 0.0440735, -0.0642739, 0.0110829, 0.00329492
708651, -0.0128548, -0.0293824, 0.0221658, -0.000299538
708652, -0.0422371, 0.0532555, 0.0314515, -0.0188709
708653, 0.0440735, -0.0293824, 0.0134792, -0.00209677
708654, 0.0146912, -0.0459099, 0.0173732, 0.00479261
708655, -0.0128548, 0.0367279, 0.0236635, -0.0125806
708656, -0.0128548, 0.0018364, 0.0254607, -0.00688937
708657, 0.0146912, -0.0128548, 0.0197695, -0.00329492
708658, 0.0146912, 0.0202004, 0.0188709, -0.0104838
708659, 0.0440735, -0.0293824, 0.0107834, 0.000299538
708660, -0.0128548, 0.0367279, 0.0221658, -0.0140783
708661, -0.0128548, -0.0293824, 0.0236635, -0.000299538
708662, 0.0440735, 0.0018364, 0.0107834, -0.00599076
708663, -0.0128548, -0.0293824, 0.0218663, 0.00209677
708664, -0.0128548, 0.0018364, 0.023364, -0.00359446
708665, 0.0440735, -0.0642739, 0.0104838, 0.0131797
708666, -0.0128548, 0.0367279, 0.0218663, -0.00688937
708667, 0.0146912, 0.0202004, 0.016175, -0.00599076
708668, 0.0146912, 0.0202004, 0.0152764, -0.00778799
708669, 0.0146912, -0.0128548, 0.0146774, -0.000898614
708670, 0.0440735, 0.0018364, 0.00658983, -0.00359446
708671, -0.0128548, 0.0018364, 0.0176727, -0.00389399
708672, -0.0422371, 0.0202004, 0.0269584, -0.0086866
708673, 0.0734559, -0.0459099, 0.00119815, 0.00658983
708674, 0.0146912, 0.0202004, 0.0104838, -0.0062903
708675, -0.0422371, 0.0202004, 0.0242626, -0.00808752
708676, -0.0128548, 0.0367279, 0.0209677, -0.0140783
708677, -0.0422371, 0.0532555, 0.0299538, -0.0215667
708678, -0.0128548, 0.0018364, 0.0263593, -0.0128801
708679, -0.0128548, -0.0642739, 0.0281566, 0.00389399
708680, 0.0440735, 0.0018364, 0.0170737, -0.00748845
708681, -0.0128548, 0.0367279, 0.0287556, -0.0164746
708682, 0.0146912, 0.0202004, 0.0236635, -0.015576
708683, -0.0128548, 0.0018364, 0.0308524, -0.0125806
708684, -0.0128548, 0.0367279, 0.0329492, -0.0215667
708685, 0.0146912, 0.0202004, 0.0281566, -0.0203686
708686, 0.0440735, -0.0293824, 0.0206681, -0.00958521
708687, 0.0734559, -0.0808015, 0.0101843, 0.00599076
708688, -0.0128548, 0.0367279, 0.027258, -0.0167741
708689, -0.0128548, 0.0018364, 0.0293547, -0.0113824
708690, -0.0128548, -0.0293824, 0.0314515, -0.00359446
708691, -0.0422371, 0.0532555, 0.0413362, -0.0221658
708692, 0.0440735, -0.097329, 0.023963, 0.0119815
708693, 0.0146912, -0.0128548, 0.0287556, -0.00119815
708694, -0.0422371, 0.0532555, 0.0431335, -0.0173732
708695, 0.0440735, 0.0018364, 0.0257603, -0.0086866
708696, -0.0128548, 0.0018364, 0.0377418, -0.00898614
708697, 0.0146912, -0.0128548, 0.0326496, -0.00509214
708698, 0.0440735, 0.0018364, 0.0251612, -0.00808752
708699, 0.0440735, 0.0018364, 0.0224653, -0.00808752
708700, 0.0146912, 0.0202004, 0.027258, -0.0128801
708701, 0.0146912, -0.0459099, 0.0269584, 0.0023963
708702, 0.0146912, -0.0459099, 0.0269584, 0.0062903
708703, 0.0146912, 0.0202004, 0.0266589, -0.00658983
708704, -0.0128548, 0.0367279, 0.0338478, -0.0125806
708705, 0.0146912, 0.0202004, 0.0287556, -0.011682
708706, 0.0146912, -0.0128548, 0.0287556, -0.00479261
708707, 0.0146912, -0.0459099, 0.0284561, 0.00479261
708708, 0.0440735, 0.0018364, 0.0209677, -0.00359446
708709, -0.0128548, 0.0367279, 0.0329492, -0.0125806
708710, 0.0440735, -0.0642739, 0.0218663, 0.00988475
708711, -0.0128548, 0.0018364, 0.0341473, -0.00149769
708712, 0.0440735, 0.0018364, 0.0224653, -0.00179723
708713, -0.0422371, 0.0881471, 0.0422348, -0.023963
708714, 0.0734559, -0.113857, 0.0176727, 0.0203686
708715, 0.0146912, 0.0202004, 0.0281566, -0.00419353
708716, -0.0128548, -0.0293824, 0.0353455, 0.00658983
708717, 0.0146912, -0.0808015, 0.0311519, 0.0221658
708718, 0.0440735, 0.0697831, 0.023963, -0.00928568
708719, -0.0128548, 0.0367279, 0.0362441, -0.00658983
708720, 0.0734559, 0.0202004, 0.0167741, -0.00569122
708721, 0.0146912, 0.0202004, 0.027258, -0.00748845
708722, -0.0128548, 0.0018364, 0.0344469, -0.00449307
708723, 0.0146912, -0.0128548, 0.0302533, -0.000599076
708724, 0.0734559, -0.0128548, 0.015576, 0.000299538
708725, 0.0146912, -0.0459099, 0.0260598, 0.00988475
708726, -0.0128548, 0.0367279, 0.0329492, -0.00718891
708727, 0.0440735, 0.0367279, 0.0212672, -0.0104838
708728, -0.0422371, 0.0202004, 0.0410367, -0.00928568
708729, 0.0440735, -0.0293824, 0.0242626, 0.00149769
708730, 0.0146912, -0.0459099, 0.0296543, 0.00838706
708731, 0.0146912, -0.0459099, 0.0299538, 0.0122811
708732, -0.0128548, 0.104675, 0.0371427, -0.0224653
708733, 0.0146912, 0.0202004, 0.0329492, -0.00958521
708734, 0.0440735, 0.0018364, 0.0257603, -0.00688937
708735, -0.0422371, 0.0532555, 0.0455298, -0.020069
708736, 0.0734559, -0.0459099, 0.0209677, 0.000898614
708737, -0.0422371, 0.0202004, 0.0461288, -0.0122811
708738, 0.0146912, -0.0128548, 0.0368432, -0.00539168
708739, 0.0734559, -0.0128548, 0.0218663, -0.00419353
708740, 0.0440735, 0.0367279, 0.0266589, -0.0158755
708741, -0.0128548, 0.0018364, 0.039539, -0.0101843
708742, 0.0146912, -0.0128548, 0.0359446, -0.00658983
708743, -0.0128548, 0.0018364, 0.0437325, -0.00928568
708744, 0.102838, -0.0293824, 0.0176727, -0.00149769
708745, 0.0440735, 0.0018364, 0.0260598, -0.00688937
708746, -0.0128548, 0.0018364, 0.0389399, -0.00718891
708747, 0.0146912, -0.0459099, 0.0353455, 0.00509214
708748, 0.0146912, 0.0532555, 0.0362441, -0.0164746
708749, -0.0422371, 0.0532555, 0.0515205, -0.0209677
708750, 0.0440735, 0.0018364, 0.0353455, -0.0125806
708751, -0.0128548, 0.0697831, 0.0482256, -0.0296543
708752, 0.102838, -0.0642739, 0.0221658, -0.00149769
708753, 0.0440735, -0.0293824, 0.0305529, -0.00509214
708754, 0.0146912, 0.0202004, 0.0365436, -0.0152764
708755, 0.0146912, -0.0808015, 0.0374422, 0.0086866
708756, 0.0734559, 0.0202004, 0.0230644, -0.00988475
708757, 0.0146912, 0.0881471, 0.0344469, -0.0290552
708758, 0.0734559, -0.0459099, 0.020069, -0.00209677
708759, 0.0146912, -0.0128548, 0.0311519, -0.00688937
708760, -0.0128548, -0.0293824, 0.0389399, -0.00149769
708761, 0.0440735, -0.0293824, 0.027857, 0.000898614
708762, 0.0146912, 0.0532555, 0.0338478, -0.0176727
708763, -0.0128548, 0.0367279, 0.0416358, -0.0179723
708764, 0.0440735, -0.0293824, 0.0305529, -0.00419353
708765, 0.0146912, 0.0202004, 0.0365436, -0.0143778
708766, 0.0734559, -0.0128548, 0.0221658, -0.00748845
708767, 0.0146912, 0.0202004, 0.0332487, -0.0149769
708768, 0.0146912, 0.0202004, 0.0344469, -0.0167741
708769, 0.0440735, -0.0293824, 0.0275575, -0.00569122
708770, -0.0128548, 0.0367279, 0.0422348, -0.020069
708771, 0.0146912, 0.0532555, 0.0389399, -0.0275575
708772, 0.0440735, 0.0018364, 0.0326496, -0.0191704
708773, 0.0440735, -0.0293824, 0.0314515, -0.0110829
708774, 0.0440735, -0.0642739, 0.0305529, 0.000299538
708775, 0.0440735, 0.0018364, 0.0293547, -0.0110829
708776, 0.0146912, 0.0881471, 0.0359446, -0.0335482
708777, 0.0146912, 0.0202004, 0.0371427, -0.023364
708778, 0.0146912, 0.0881471, 0.0386404, -0.0425344
708779, -0.0128548, 0.0367279, 0.047327, -0.0368432
