TIMESTAMPS, I_Q_MEAS, I_D_MEAS, V_Q, V_D
7234007, -0.0220368, 0.168949, 0.00539168, -0.0437325
7234008, 0.0642739, -0.0844743, -0.0149769, 0.00688937
7234009, 0.0348915, 0, -0.0125806, -0.00748845
7234010, 0.00550919, 0.0165276, -0.00838706, -0.011682
7234011, 0.0348915, 0, -0.016175, -0.0086866
7234012, -0.0808015, 0.0679467, 0.0101843, -0.0263593
7234013, -0.0220368, 0.0679467, 0.00209677, -0.0320506
7234014, 0.0348915, -0.0330551, -0.0104838, -0.0119815
7234015, 0.0348915, 0, -0.0134792, -0.0173732
7234016, 0.0348915, -0.0330551, -0.016175, -0.00928568
7234017, 0.00550919, 0.0165276, -0.0119815, -0.0191704
7234018, -0.0220368, 0, -0.00539168, -0.016175
7234019, 0.00550919, 0.0495827, -0.0104838, -0.0290552
7234020, 0.00550919, 0.0495827, -0.0110829, -0.0332487
7234021, -0.0220368, 0.0679467, -0.00449307, -0.0419353
7234022, 0.0348915, -0.0661103, -0.0170737, -0.0134792
7234023, -0.0220368, 0.0330551, -0.00539168, -0.0332487
7234024, 0.00550919, 0.0165276, -0.0107834, -0.0320506
7234025, 0.0348915, -0.0330551, -0.0185714, -0.0206681
7234026, 0.0642739, -0.0165276, -0.0290552, -0.0218663
7234027, -0.0220368, -0.0330551, -0.0125806, -0.0164746
7234028, -0.0220368, 0.0330551, -0.0104838, -0.0302533
7234029, -0.0220368, 0.0330551, -0.0086866, -0.0332487
7234030, 0.0348915, -0.0330551, -0.0212672, -0.0191704
7234031, -0.0220368, 0, -0.00988475, -0.0245621
7234032, 0.0348915, -0.0330551, -0.0224653, -0.0164746
7234033, 0.00550919, 0.0165276, -0.0164746, -0.0263593
7234034, -0.0220368, 0.0330551, -0.00958521, -0.031751
7234035, 0.00550919, 0.0165276, -0.0140783, -0.0305529
7234036, -0.0220368, 0, -0.00718891, -0.0275575
7234037, -0.0220368, 0.0330551, -0.00479261, -0.0359446
7234038, 0.0348915, 0, -0.0170737, -0.0302533
7234039, 0.0348915, -0.0661103, -0.01947, -0.0134792
7234040, -0.0220368, -0.0330551, -0.00748845, -0.0164746
7234041, 0.00550919, -0.0495827, -0.0119815, -0.00928568
7234042, 0.0348915, 0.0330551, -0.0197695, -0.0260598
7234043, 0.00550919, -0.0495827, -0.0146774, -0.00778799
7234044, 0.0642739, -0.0165276, -0.0296543, -0.0122811
7234045, -0.0220368, 0.0330551, -0.0125806, -0.023364
7234046, -0.0220368, -0.0330551, -0.0104838, -0.00958521
7234047, 0.0348915, -0.0330551, -0.0224653, -0.00658983
7234048, -0.0220368, 0.0330551, -0.0104838, -0.0206681
7234049, 0.00550919, -0.0165276, -0.0149769, -0.0107834
7234050, -0.0220368, 0, -0.00808752, -0.0134792
7234051, 0.00550919, 0.0165276, -0.0125806, -0.0179723
7234052, 0.00550919, -0.0165276, -0.0125806, -0.0107834
7234053, 0.00550919, -0.0165276, -0.0125806, -0.00928568
7234054, 0.0348915, 0, -0.0203686, -0.0119815
7234055, -0.0220368, 0, -0.00838706, -0.0119815
7234056, 0.00550919, 0.0165276, -0.0128801, -0.0164746
7234057, 0.0348915, 0.0330551, -0.0203686, -0.0218663
7234058, 0.00550919, 0.0495827, -0.0152764, -0.0290552
7234059, -0.0514191, 0.0495827, -0.000898614, -0.0332487
7234060, 0.0348915, -0.0330551, -0.0179723, -0.0164746
7234061, 0.00550919, 0.0495827, -0.0128801, -0.0347464
7234062, -0.0220368, 0, -0.00599076, -0.0260598
7234063, 0.0348915, -0.0330551, -0.0164746, -0.0179723
7234064, -0.0220368, -0.0330551, -0.00389399, -0.0149769
7234065, 0.00550919, 0.0495827, -0.00778799, -0.0332487
7234066, 0.0348915, 0, -0.0146774, -0.0245621
7234067, -0.0220368, 0, -0.00209677, -0.0245621
7234068, 0.0348915, -0.0330551, -0.0134792, -0.0164746
7234069, 0.0642739, -0.0495827, -0.0230644, -0.00928568
7234070, -0.0220368, 0.0330551, -0.00539168, -0.0260598
7234071, 0.00550919, 0.0165276, -0.00928568, -0.0248616
7234072, 0.00550919, 0.0495827, -0.0086866, -0.0347464
7234073, -0.0220368, 0, -0.00119815, -0.0260598
7234074, 0.0642739, -0.0844743, -0.0203686, -0.00449307
7234075, 0.00550919, 0.0165276, -0.00928568, -0.023364
7234076, 0.0348915, 0, -0.0164746, -0.0203686
7234077, -0.0220368, 0.0330551, -0.00389399, -0.0287556
7234078, 0.00550919, 0.0165276, -0.00778799, -0.0275575
7234079, 0.0348915, -0.0330551, -0.0146774, -0.0164746
7234080, 0.00550919, 0.0165276, -0.00898614, -0.0260598
7234081, -0.0220368, 0, -0.00149769, -0.0230644
7234082, 0.00550919, 0.0165276, -0.00539168, -0.0275575
7234083, -0.0220368, 0, 0.00209677, -0.0245621
7234084, 0.0348915, -0.0330551, -0.00928568, -0.0164746
7234085, 0.0348915, 0, -0.0113824, -0.0218663
7234086, -0.0220368, 0.0330551, 0.00119815, -0.0302533
7234087, -0.0220368, 0.0679467, 0.00419353, -0.0419353
7234088, 0.0348915, -0.101002, -0.00718891, -0.00479261
7234089, -0.0220368, 0.0679467, 0.00539168, -0.0392395
7234090, 0.0348915, -0.0330551, -0.00599076, -0.0191704
7234091, 0.0642739, -0.0495827, -0.015576, -0.0119815
7234092, -0.0514191, 0.0495827, 0.00958521, -0.0332487
7234093, 0.0348915, 0, -0.00539168, -0.0245621
7234094, 0.0348915, 0, -0.00688937, -0.0245621
7234095, -0.0220368, -0.0330551, 0.00599076, -0.0164746
7234096, 0.0936562, 0.0330551, -0.0197695, -0.0302533
7234097, 0.00550919, -0.0165276, -0.00359446, -0.0206681
7234098, 0.0642739, -0.0165276, -0.0176727, -0.0191704
7234099, 0.00550919, -0.0165276, -0.00658983, -0.0176727
7234100, 0.00550919, 0.0165276, -0.00539168, -0.0248616
7234101, -0.0220368, 0.0679467, 0.0023963, -0.0392395
7234102, 0.0348915, 0.0330551, -0.00838706, -0.0362441
7234103, 0.00550919, -0.0165276, -0.0023963, -0.0263593
7234104, 0.0348915, 0, -0.0086866, -0.0290552
7234105, 0.0348915, 0, -0.0101843, -0.0290552
7234106, -0.0220368, 0.0330551, 0.00269584, -0.0374422
7234107, 0.0642739, -0.0165276, -0.0158755, -0.027857
7234108, 0.00550919, 0.0165276, -0.00449307, -0.0347464
7234109, -0.0220368, 0.0330551, 0.00359446, -0.0404376
7234110, 0.0348915, 0, -0.00748845, -0.0347464
7234111, 0.0348915, -0.0330551, -0.00898614, -0.0263593
7234112, 0.00550919, 0.0165276, -0.00269584, -0.0362441
7234113, 0.00550919, 0.0495827, -0.00179723, -0.0461288
7234114, -0.0220368, 0.0679467, 0.0062903, -0.055115
7234115, 0.00550919, 0.0165276, 0.00299538, -0.0476265
7234116, 0.00550919, 0.0165276, 0.00389399, -0.0491242
7234117, 0.0348915, -0.0330551, -0.0023963, -0.0380413
7234118, 0.00550919, -0.0495827, 0.00359446, -0.0305529
7234119, 0.0348915, 0, -0.00269584, -0.0389399
7234120, 0.00550919, -0.0165276, 0.00329492, -0.0350459
7234121, 0.0348915, -0.0330551, -0.00299538, -0.0293547
7234122, 0.00550919, 0.0495827, 0.00299538, -0.0476265
7234123, 0.0642739, -0.0165276, -0.00898614, -0.0350459
7234124, 0.00550919, -0.0165276, 0.00269584, -0.0335482
7234125, 0.0348915, 0, -0.00329492, -0.0362441
7234126, 0.0642739, 0.0165276, -0.0113824, -0.0407372
7234127, -0.0220368, -0.0661103, 0.00748845, -0.0209677
7234128, 0.0642739, -0.0165276, -0.0104838, -0.027857
7234129, 0.0348915, -0.0330551, -0.00658983, -0.0224653
7234130, -0.0220368, 0.0679467, 0.00748845, -0.0452302
7234131, 0.0348915, -0.0330551, -0.00329492, -0.0254607
7234132, 0.123039, -0.0495827, -0.0263593, -0.0182718
7234133, 0.00550919, 0.0495827, -0.00479261, -0.039539
7234134, 0.0642739, -0.0165276, -0.0179723, -0.0266589
7234135, 0.0348915, 0, -0.0137787, -0.0293547
7234136, 0.00550919, -0.0495827, -0.00688937, -0.0167741
7234137, 0.0348915, 0, -0.0128801, -0.0251612
7234138, -0.0514191, 0.0844743, 0.00838706, -0.0470275
7234139, 0.0642739, -0.0165276, -0.0143778, -0.0281566
7234140, 0.0348915, -0.0661103, -0.0104838, -0.0143778
7234141, 0.0348915, -0.0330551, -0.0110829, -0.0170737
7234142, 0.0348915, 0.0679467, -0.0119815, -0.0398385
7234143, 0.0348915, -0.0330551, -0.0128801, -0.020069
7234144, 0.00550919, 0.0165276, -0.00599076, -0.0299538
7234145, 0.0348915, 0.0330551, -0.011682, -0.0353455
7234146, 0.0348915, -0.0661103, -0.0125806, -0.0128801
7234147, -0.0220368, 0.0330551, 0.00149769, -0.0326496
7234148, 0.0348915, 0, -0.00928568, -0.0269584
7234149, 0.00550919, -0.0165276, -0.0023963, -0.0227649
7234150, 0.0348915, 0, -0.00838706, -0.0254607
7234151, 0.0348915, -0.0330551, -0.00928568, -0.0173732
7234152, -0.0220368, 0.0330551, 0.00479261, -0.0311519
7234153, 0.0348915, 0, -0.00449307, -0.0254607
7234154, 0.0348915, -0.0330551, -0.00479261, -0.0173732
7234155, 0.00550919, 0.0844743, 0.0023963, -0.0446312
7234156, 0.0936562, -0.0330551, -0.0176727, -0.0215667
7234157, 0.00550919, -0.0495827, -0.000599076, -0.0143778
7234158, 0.0348915, 0.0679467, -0.00599076, -0.0401381
7234159, -0.0514191, -0.0165276, 0.015576, -0.0245621
7234160, 0.0642739, -0.0165276, -0.00658983, -0.0230644
7234161, 0.00550919, 0.0165276, 0.00539168, -0.0302533
7234162, 0.0642739, 0.0165276, -0.00718891, -0.0314515
7234163, 0.00550919, 0.0165276, 0.00479261, -0.0329492
7234164, 0.0642739, -0.0495827, -0.00778799, -0.0173732
7234165, 0.00550919, 0.0165276, 0.00419353, -0.0302533
7234166, 0.00550919, 0.0165276, 0.0062903, -0.0314515
7234167, 0.0348915, -0.0661103, 0.000898614, -0.0119815
7234168, 0.0642739, -0.0165276, -0.00658983, -0.0188709
7234169, 0.00550919, 0.0165276, 0.00539168, -0.0260598
7234170, 0.0348915, 0, 0, -0.0230644
7234171, 0.0348915, 0.0679467, -0.000299538, -0.0404376
7234172, 0.0348915, 0, -0.000599076, -0.0287556
7234173, 0.0642739, -0.0165276, -0.00808752, -0.0245621
7234174, 0.0348915, 0.0330551, -0.00359446, -0.0359446
7234175, 0.0348915, -0.0330551, -0.00389399, -0.0218663
7234176, 0.0348915, 0.0330551, -0.00419353, -0.0359446
7234177, 0.00550919, 0.0495827, 0.00299538, -0.0431335
7234178, 0.0642739, -0.0495827, -0.00988475, -0.0218663
7234179, 0.0642739, 0.0165276, -0.0125806, -0.0344469
7234180, -0.0514191, 0.0844743, 0.0140783, -0.0533178
7234181, 0.0348915, -0.0661103, -0.000898614, -0.0221658
7234182, 0.00550919, -0.0495827, 0.0062903, -0.0206681
7234183, 0.0936562, -0.0330551, -0.0122811, -0.0206681
7234184, 0.0348915, 0, -0.00179723, -0.0260598
7234185, 0.0642739, -0.0165276, -0.00898614, -0.0218663
7234186, 0.0348915, 0, -0.00359446, -0.0245621
7234187, 0.0348915, -0.0661103, -0.00329492, -0.00808752
7234188, 0.0642739, 0.0165276, -0.0104838, -0.023364
7234189, 0.0348915, 0, -0.00509214, -0.0203686
7234190, 0.0348915, 0, -0.00479261, -0.0203686
7234191, 0.00550919, -0.0165276, 0.00269584, -0.0164746
7234192, 0.0642739, 0.0165276, -0.00928568, -0.023364
7234193, 0.0348915, 0, -0.00389399, -0.0203686
7234194, 0.00550919, 0.0165276, 0.00359446, -0.0248616
7234195, 0.0348915, -0.0330551, -0.000898614, -0.0137787
7234196, 0.0642739, -0.0165276, -0.00808752, -0.0149769
7234197, 0.00550919, -0.0165276, 0.00449307, -0.0134792
7234198, 0.0642739, 0.0165276, -0.00748845, -0.0206681
7234199, 0.0348915, 0, -0.00209677, -0.0176727
7234200, 0.0348915, 0, -0.00179723, -0.0176727
7234201, 0.0348915, 0.0330551, -0.00149769, -0.0260598
7234202, 0.00550919, 0.0495827, 0.0062903, -0.0332487
7234203, 0.0936562, -0.101002, -0.0134792, 0.000898614
7234204, 0.00550919, 0.0495827, 0.00419353, -0.0290552
7234205, 0.0642739, -0.0165276, -0.00778799, -0.016175
7234206, 0.00550919, -0.0165276, 0.00479261, -0.0146774
7234207, 0.0936562, 0.0330551, -0.0146774, -0.0260598
