I_Q,I_D,V_Q,V_D,is_startup
0.156094,-0.145075,1.69808,-0.20728,0
0.176294,-0.0550919,1.69628,-0.217764,0
0.209349,-0.0146912,1.68939,-0.223455,0
0.178131,0.0220368,1.69628,-0.231543,0
0.139566,0.0514191,1.70737,-0.241128,0
0.194658,0.00550919,1.69808,-0.23364,0
0.214858,-0.0569283,1.69269,-0.218064,0
0.187312,-0.0348915,1.69838,-0.218962,0
0.293824,-0.225877,1.67142,-0.167142,0
0.326879,-0.119366,1.65465,-0.17523,0
0.304842,0.00550919,1.64896,-0.196796,0
0.260768,0.123039,1.65105,-0.22705,0
0.176294,0.168949,1.66693,-0.249515,0
0.0385643,0.0863107,1.70347,-0.242925,0
0.150585,-0.113857,1.6885,-0.199193,0
0.13773,-0.156094,1.69538,-0.178525,0
0.104675,-0.213022,1.70886,-0.150668,0
0.22955,-0.126711,1.6846,-0.154562,0
0.303006,0.00367279,1.66274,-0.177326,0
0.326879,0.0606011,1.64716,-0.192004,0
0.277296,0.143239,1.64896,-0.218363,0
0.168949,0.161603,1.66932,-0.235137,0
0.22955,0.148748,1.65615,-0.245621,0
0.185476,0.0569283,1.66453,-0.234838,0
0.0808015,-0.119366,1.69179,-0.1947,0
0.262605,-0.018364,1.65525,-0.210276,0
0.290151,-0.00550919,1.64237,-0.211773,0
0.225877,0.0954926,1.65075,-0.237534,0
0.244241,0.266278,1.64327,-0.289054,0
0.106511,0.13773,1.67442,-0.27887,0
0.11202,0.0312187,1.68011,-0.263294,0
0.143239,-0.0128548,1.67951,-0.254907,0
0.185476,-0.13773,1.67292,-0.221658,0
0.159767,-0.0330551,1.68011,-0.236934,0
0.196494,0.0348915,1.67382,-0.251312,0
0.24975,0.027546,1.66004,-0.25251,0
0.190985,0.205676,1.67052,-0.300137,0
0.196494,0.220368,1.66932,-0.321704,0
0.132221,0.101002,1.6855,-0.310022,0
0.13773,0.0293824,1.68969,-0.300137,0
0.113857,-0.163439,1.70048,-0.253409,0
0.264441,-0.233222,1.66903,-0.221658,0
0.20384,-0.170785,1.66903,-0.217764,0
0.312187,-0.0606011,1.63757,-0.231243,0
0.187312,0.0661103,1.65644,-0.258501,0
0.11202,0.106511,1.67322,-0.274377,0
0.145075,0.0844743,1.66843,-0.278271,0
0.146912,-0.0440735,1.66903,-0.252211,0
0.124875,-0.0881471,1.67562,-0.237234,0
0.20384,0.134057,1.66873,-0.241128,0
0.132221,-0.0569283,1.6867,-0.203386,0
0.194658,-0.0550919,1.67651,-0.199193,0
0.253423,-0.0716195,1.66154,-0.190207,0
0.348915,0.0789651,1.63278,-0.222557,0
