I_Q,I_D,V_Q,V_D,is_startup
-0.0128548,0.0697831,0.0023963,-0.020069,1
0.0146912,-0.0459099,-0.00389399,0.00359446,1
0.0146912,-0.0128548,-0.00509214,-0.000898614,1
-0.0128548,-0.0293824,0.000898614,0.00419353,1
-0.0422371,0.0532555,0.00958521,-0.0143778,1
0.0146912,0.0202004,-0.00149769,-0.0101843,1
0.0146912,0.0202004,-0.00269584,-0.0119815,1
0.0440735,-0.097329,-0.011682,0.0164746,1
-0.0128548,0.0018364,-0.000599076,-0.000898614,1
-0.0128548,0.0018364,0.000299538,-0.00119815,1
0.0146912,0.0202004,-0.00569122,-0.00569122,1
0.0440735,-0.0293824,-0.0143778,0.00509214,1
0.0146912,-0.0128548,-0.0107834,0.00359446,1
0.0146912,-0.0128548,-0.0119815,0.00449307,1
-0.0422371,0.0532555,0.00149769,-0.0113824,1
0.0146912,-0.0459099,-0.00958521,0.00958521,1
-0.0422371,0.121202,0.00539168,-0.0290552,1
0.0440735,-0.0642739,-0.0125806,0.00778799,1
0.0146912,-0.0459099,-0.0086866,0.0086866,1
-0.0422371,0.0532555,0.00539168,-0.0128801,1
-0.0128548,-0.0293824,0.00179723,0.00359446,1
0.0146912,-0.0128548,-0.00389399,0.00209677,1
-0.0422371,0.0532555,0.0101843,-0.0137787,1
0.0440735,-0.097329,-0.00778799,0.0203686,1
0.0440735,0.0018364,-0.0110829,0.00299538,1
0.0146912,0.0532555,-0.00718891,-0.0101843,1
-0.0128548,-0.0293824,-0.000898614,0.0062903,1
-0.0128548,0.0367279,0.000898614,-0.00778799,1
0.0146912,0.0202004,-0.00479261,-0.00688937,1
0.0146912,-0.0128548,-0.00569122,0.0,1
-0.0128548,0.0367279,0.000898614,-0.011682,1
0.0440735,-0.0293824,-0.0119815,0.00209677,1
0.0146912,0.0202004,-0.00808752,-0.00808752,1
0.0146912,-0.0128548,-0.0086866,-0.00119815,1
-0.0128548,0.0018364,-0.0023963,-0.00419353,1
0.0440735,-0.0642739,-0.0152764,0.0125806,1
0.0146912,0.0202004,-0.0113824,-0.00329492,1
0.0440735,-0.0293824,-0.01947,0.00748845,1
-0.0716195,0.0697831,0.00658983,-0.0152764,1
0.0440735,-0.0293824,-0.016175,0.00389399,1
-0.0128548,0.0367279,-0.00509214,-0.0101843,1
-0.0128548,0.0018364,-0.00329492,-0.00479261,1
-0.0128548,-0.0293824,-0.00179723,0.00329492,1
-0.0128548,-0.0293824,-0.000299538,0.00569122,1
0.0440735,0.0018364,-0.0131797,0.000299538,1
0.0440735,-0.0642739,-0.0164746,0.0170737,1
-0.101002,0.156094,0.0191704,-0.0335482,1
-0.0128548,-0.0293824,0.0062903,0.000299538,1
0.0146912,0.0202004,0.00119815,-0.00988475,1
-0.0128548,0.0697831,0.00838706,-0.0242626,1
0.0734559,-0.0808015,-0.011682,0.00808752,1
0.0146912,-0.0128548,-0.00179723,-0.00209677,1
0.0146912,0.0532555,-0.00209677,-0.0179723,1
0.0146912,-0.0128548,-0.00209677,-0.00569122,1
0.0146912,-0.0128548,-0.0023963,-0.00449307,1
-0.0128548,0.0367279,0.00479261,-0.0158755,1
-0.0422371,0.0202004,0.0143778,-0.0149769,1
-0.0128548,0.0018364,0.011682,-0.0122811,1
0.0734559,-0.0808015,-0.00838706,0.0086866,1
0.0146912,-0.0128548,0.00149769,-0.00149769,1
0.0146912,-0.0128548,0.00119815,-0.000299538,1
0.0146912,-0.0128548,0.00119815,0.000599076,1
0.0440735,0.0018364,-0.0062903,-0.00209677,1
0.0146912,-0.0459099,-0.00179723,0.0101843,1
0.0440735,0.0018364,-0.00928568,0.00149769,1
-0.0128548,0.0697831,0.00269584,-0.0158755,1
0.0146912,0.0202004,-0.0023963,-0.00898614,1
0.0440735,-0.0293824,-0.00988475,0.00179723,1
-0.0128548,0.104675,0.00209677,-0.0299538,1
0.0146912,-0.0459099,-0.00299538,-0.000299538,1
0.0734559,-0.0808015,-0.0179723,0.0122811,1
-0.0422371,0.0532555,0.00658983,-0.0149769,1
-0.0128548,-0.0293824,0.00359446,0.00179723,1
0.0146912,-0.0128548,-0.00149769,0.0,1
0.0146912,0.0532555,-0.00149769,-0.0158755,1
-0.0422371,0.0202004,0.0131797,-0.0119815,1
-0.0422371,0.0532555,0.0191704,-0.0221658,1
0.0146912,-0.0128548,0.00988475,-0.00958521,1
0.0440735,0.0018364,0.00269584,-0.0125806,1
-0.0128548,-0.0293824,0.0146774,-0.00449307,1
-0.0128548,-0.0293824,0.0173732,-0.00209677,1
0.0734559,-0.0808015,-0.00179723,0.0134792,1
-0.0128548,0.0018364,0.0152764,-0.000599076,1
-0.0422371,0.0532555,0.0257603,-0.0140783,1
0.0440735,0.0018364,0.0086866,-0.00539168,1
0.0146912,-0.0128548,0.0140783,-0.00179723,1
0.0734559,-0.0128548,-0.000599076,-0.000599076,1
0.0440735,0.0018364,0.00209677,-0.00329492,1
0.0146912,-0.0128548,0.00778799,0.000299538,1
0.0146912,0.0202004,0.00808752,-0.00688937,1
-0.0422371,0.0202004,0.0227649,-0.0086866,1
0.0440735,0.0018364,0.00569122,-0.00599076,1
0.0146912,-0.0128548,0.0113824,-0.00209677,1
0.0146912,-0.0128548,0.011682,-0.000898614,1
0.0734559,-0.0459099,-0.00329492,0.0086866,1
0.0440735,-0.0293824,-0.000299538,0.00808752,1
-0.0128548,0.0018364,0.011682,0.0023963,1
0.0440735,0.0018364,0.0,0.0023963,1
-0.0128548,0.0367279,0.0122811,-0.0062903,1
-0.0128548,0.0697831,0.0149769,-0.0179723,1
0.0734559,-0.0459099,-0.00449307,0.00569122,1
0.0734559,-0.0128548,-0.00898614,0.000898614,1
-0.0128548,0.0367279,0.00808752,-0.0104838,1
-0.0128548,-0.0293824,0.0107834,0.00299538,1
-0.0422371,0.0532555,0.0212672,-0.015576,1
0.0440735,-0.0293824,0.00419353,0.000898614,1
-0.0422371,0.0532555,0.0260598,-0.0176727,1
0.0146912,0.0202004,0.0173732,-0.0134792,1
-0.0128548,-0.0293824,0.0251612,-0.00269584,1
0.0440735,-0.0293824,0.0137787,-0.000299538,1
0.0440735,0.0367279,0.0122811,-0.0143778,1
0.0146912,0.0202004,0.0182718,-0.0134792,1
-0.0422371,-0.0459099,0.0338478,0.00179723,1
0.0440735,0.0018364,0.0173732,-0.00658983,1
0.0440735,-0.0293824,0.0158755,0.00119815,1
0.0734559,-0.0128548,0.00688937,-0.000299538,1
0.0734559,-0.0459099,0.00269584,0.00928568,1
-0.0128548,0.0367279,0.0206681,-0.00808752,1
0.0146912,0.0202004,0.0170737,-0.00688937,1
0.0734559,-0.0808015,0.00299538,0.0170737,1
-0.0422371,0.0532555,0.0284561,-0.0104838,1
-0.0128548,0.0697831,0.0266589,-0.0188709,1
0.0146912,-0.0128548,0.0230644,-0.00389399,1
-0.0128548,0.104675,0.0308524,-0.0329492,1
0.0440735,-0.0642739,0.0197695,0.00149769,1
0.0734559,-0.113857,0.0104838,0.01947,1
0.0146912,0.0202004,0.0215667,-0.00509214,1
-0.0128548,0.0018364,0.0293547,-0.00209677,1
0.0146912,0.0532555,0.0257603,-0.0152764,1
0.0734559,0.0532555,0.011682,-0.0197695,1
0.0734559,-0.113857,0.00748845,0.0182718,1
0.0146912,0.0202004,0.0185714,-0.0062903,1
0.0440735,-0.0293824,0.0119815,0.00479261,1
0.0146912,0.0202004,0.0179723,-0.00539168,1
-0.0128548,0.0697831,0.0257603,-0.0197695,1
0.0734559,-0.0128548,0.00718891,-0.00449307,1
0.0146912,0.0202004,0.01947,-0.0119815,1
-0.0128548,0.0367279,0.0281566,-0.0179723,1
0.0440735,0.0018364,0.0170737,-0.0122811,1
0.0146912,-0.0459099,0.0236635,0.0,1
0.0440735,-0.0293824,0.0173732,-0.000599076,1
0.0734559,-0.0808015,0.0086866,0.0149769,1
-0.0422371,0.0202004,0.0347464,-0.00359446,1
0.0146912,0.0532555,0.0266589,-0.0140783,1
0.0440735,0.0018364,0.0203686,-0.00539168,1
0.0146912,0.0202004,0.0269584,-0.0101843,1
0.0440735,0.0018364,0.0206681,-0.00718891,1
0.0440735,0.0018364,0.0197695,-0.00748845,1
-0.0128548,0.0697831,0.0332487,-0.0248616,1
0.0146912,0.0202004,0.0299538,-0.0182718,1
0.0146912,0.0202004,0.0314515,-0.0197695,1
0.0440735,0.0018364,0.0251612,-0.0170737,1
0.0734559,-0.0808015,0.0164746,0.00389399,1
0.0440735,0.0018364,0.0203686,-0.0101843,1
0.0440735,0.0018364,0.01947,-0.0104838,1
0.0146912,0.0202004,0.0257603,-0.0152764,1
0.0734559,-0.0128548,0.0119815,-0.00838706,1
0.0734559,-0.0459099,0.00838706,0.00119815,1
0.0146912,0.0202004,0.020069,-0.0119815,1
-0.0422371,0.0532555,0.0359446,-0.0221658,1
0.0734559,-0.113857,0.0125806,0.016175,1
0.0146912,-0.0459099,0.0242626,0.0086866,1
0.0440735,-0.0293824,0.0179723,0.00808752,1
0.0734559,-0.0128548,0.00928568,0.00658983,1
0.0146912,0.0202004,0.0209677,-0.000898614,1
-0.0128548,0.0367279,0.0293547,-0.00688937,1
0.0146912,0.0202004,0.027857,-0.00569122,1
0.0146912,0.0881471,0.0299538,-0.0248616,1
0.0440735,-0.0642739,0.0242626,0.00658983,1
0.102838,-0.0293824,0.00898614,0.00299538,1
0.0734559,-0.0128548,0.0110829,0.00149769,1
0.0146912,-0.0459099,0.0230644,0.0110829,1
0.0146912,0.0202004,0.0248616,-0.00209677,1
0.0146912,-0.0128548,0.0269584,0.00479261,1
0.102838,-0.0642739,0.00658983,0.0188709,1
-0.0128548,0.104675,0.0308524,-0.0188709,1
0.0440735,0.0367279,0.0203686,-0.0101843,1
0.0440735,-0.0293824,0.0197695,0.00329492,1
-0.0128548,0.0367279,0.0341473,-0.0107834,1
0.0440735,-0.0293824,0.023963,0.00269584,1
