I_Q,I_D,V_Q,V_D,is_startup
2.3157,-1.25059,2.43824,-0.322902,0
2.67379,-1.0394,2.34658,-0.270483,0
3.05209,-0.666612,2.21928,-0.277073,0
3.23022,-0.260768,2.11084,-0.323801,0
3.32204,-0.167112,2.009,-0.325897,0
3.33673,-0.0679467,1.91914,-0.336681,0
3.26695,0.00550919,1.84995,-0.34986,0
3.27797,0.27546,1.76548,-0.419054,0
3.199,0.870452,1.70347,-0.594583,0
3.01353,1.18999,1.67562,-0.750343,0
2.51035,1.34241,1.74421,-0.890526,0
1.78865,1.23406,1.88829,-0.977093,0
1.40117,0.745577,2.02398,-0.957323,0
1.21386,0.359934,2.1417,-0.922277,0
1.04307,0.101002,2.2711,-0.886932,0
1.19549,0.0202004,2.3322,-0.87495,0
1.10367,-0.0550919,2.44273,-0.857278,0
1.18815,-0.497664,2.51612,-0.739859,0
1.44892,-0.809851,2.53769,-0.617647,0
1.70234,-1.22304,2.53858,-0.443017,0
1.93924,-1.43606,2.52211,-0.284561,0
2.21102,-1.15509,2.47658,-0.233939,0
2.48281,-0.892489,2.40799,-0.202787,0
2.88498,-0.462772,2.28308,-0.236335,0
3.12738,-0.198331,2.16446,-0.264792,0
3.26144,-0.0716195,2.05303,-0.280367,0
3.35877,-0.0110184,1.93921,-0.289354,0
3.27797,0.0679467,1.86313,-0.308824,0
3.21186,0.332388,1.79004,-0.381911,0
3.22471,0.664776,1.70197,-0.495136,0
3.12004,1.10184,1.64356,-0.663477,0
2.37997,1.48932,1.75589,-0.856379,0
1.78131,1.32955,1.89518,-0.942346,0
1.46728,0.697831,2.01289,-0.894121,0
1.20835,0.330551,2.14289,-0.859674,0
1.10367,0.0752923,2.25582,-0.822531,0
1.39383,0.189149,2.27679,-0.858176,0
1.22304,0.027546,2.39061,-0.833015,0
1.44524,0.11202,2.41877,-0.856978,0
1.57012,-0.0752923,2.45292,-0.818637,0
1.73356,-0.903507,2.46669,-0.600574,0
2.09717,-1.28915,2.41517,-0.425344,0
2.20184,-1.30201,2.399,-0.312119,0
2.56177,-1.00635,2.30854,-0.276773,0
2.96578,-0.640903,2.17644,-0.284561,0
3.0576,-0.36177,2.08928,-0.301335,0
3.16411,-0.097329,1.99073,-0.337879,0
3.22471,-0.101002,1.89488,-0.328893,0
3.1788,-0.0018364,1.82119,-0.345367,0
1.83456,-1.3975,2.53439,-0.352556,0
2.1596,-1.2965,2.48706,-0.2594,0
2.3157,-1.07429,2.45501,-0.206082,0
2.69032,-0.684976,2.35377,-0.21387,0
2.96027,-0.332388,2.24773,-0.245621,0
3.25593,-0.0991654,2.11144,-0.276773,0
3.37162,-0.00550919,1.99672,-0.292349,0
3.29266,-0.0991654,1.92154,-0.267787,0
3.28348,0.145075,1.83527,-0.322003,0
3.26144,0.488482,1.7529,-0.422049,0
3.28715,0.844743,1.66034,-0.554744,0
2.86111,1.34608,1.68101,-0.754536,0
2.17613,1.38464,1.80382,-0.879144,0
1.75743,1.10551,1.91734,-0.925572,0
1.25793,0.72354,2.08688,-0.922277,0
1.15509,0.163439,2.19801,-0.840503,0
1.28548,0.143239,2.25792,-0.84949,0
1.32221,0.123039,2.3307,-0.856379,0
1.24508,0.0165276,2.42955,-0.839904,0
1.52605,0.190985,2.44363,-0.885734,0
1.66745,-0.398498,2.46909,-0.751541,0
1.84925,-1.12571,2.47239,-0.531979,0
2.17613,-1.35526,2.42296,-0.377118,0
2.40568,-1.22671,2.37084,-0.294745,0
2.74358,-0.934726,2.2717,-0.264792,0
2.99333,-0.4995,2.16596,-0.296543,0
3.24675,-0.202004,2.03806,-0.330091,0
3.26695,-0.128548,1.9479,-0.331289,0
3.24124,-0.146912,1.86822,-0.315713,0
3.14024,0.0936562,1.80951,-0.364837,0
3.12555,0.42788,1.73792,-0.458293,0
3.08515,0.934726,1.67382,-0.623937,0
2.83172,1.22488,1.66753,-0.7776,0
2.16511,1.33139,1.78824,-0.909098,0
